root_path,subfolder,image_name,predicted_text,prompt_used
/mnt/abka03/Projects/xl-vlms/data/train,orange,120447.jpg,"Bowl, oranges, bread, cutting board, towels, fabric, wood, white, orange, brown, gray, red, pattern, texture, smooth, rough, woven.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,454258.jpg,"Bowl, oranges, apples, plastic, smooth, textured, orange, red, yellow, brown, checkered, tile, wooden, patterned.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,151694.jpg,"Oranges, leaves, branches, sky, blue, green, orange, textured, smooth, organic, sunlight, bokeh.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,119923.jpg,"Tangerines, glass, juice, bowl, table, tablecloth, wood, shadows, orange, yellow, white, stripes, texture, pattern, sunlight, room, furniture.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,104568.jpg,"Apples, oranges, grapefruit, persimmons, cabbage, kale, avocado, sweet potatoes, stove, metal, plastic, smooth, rough, patterned, round, oval, oblong, vibrant, muted, glossy, matte, organic, artificial.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,140866.jpg,"Bowl, sugar, baking pan, bananas, orange, chocolate, eggs, butter, flour, plate, fabric, checkered, brown, white, yellow, orange, dark brown, smooth, granular, solid, patterned.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,392850.jpg,"Oranges, apples, banana, lemons, plums, ginger, cutting board, knife, peeler, red, wooden, plastic, smooth, textured, round, oval, oblong, vibrant, muted, horizontal, diagonal, scattered, grouped, translucent, opaque.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,147122.jpg,"Kitchen,cabinets,countertop,sink,faucet,appliances,dishes,utensils,plants,bags,calendar,decorations,tile,wood,metal,plastic,fabric,pattern,beige,white,brown,red,blue,green,yellow,floral,geometric,smooth,textured,glossy,matte.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,38033.jpg,"Grapes, orange, mango, strawberries, pineapple, bread, pretzels, plastic, wood, checkered, smooth, bumpy, round, oval, rectangular, translucent, opaque, yellow, green, orange, brown, beige, white, pattern.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,147618.jpg,"Fruits,pineapple,bananas,oranges,apples,pears,grapes,limes,peaches,textures,smooth,rough,shiny,matte,yellow,orange,green,red,brown,patterns,grid,mosaic.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,457335.jpg,"Plate, food, rice, fish, lemon, dill, broccoli, white, green, brown, glossy, textured, rectangular, square, patterned.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,28287.jpg,"Plate, food, chicken, sauce, vegetables, carrots, zucchini, peppers, white, orange, green, brown, glossy, smooth, rectangular, horizontal, linear, patterned.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,670.jpg,"Oranges, apples, boxes, cardboard, fruit, brown, orange, red, green, white, texture, pattern, rows, display, produce, supermarket, grocery.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,510063.jpg,"Woman, man, kitchen, sink, stove, cabinets, refrigerator, microwave, television, table, chairs, sofa, cushions, curtains, window, door, fruit, magazine, gray, brown, white, black, silver, plastic, fabric, wood, metal, striped, smooth, textured, patterned.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,234614.jpg,"Oranges, bananas, scallions, peppers, plastic, mesh, silver, smooth, bumpy, yellow, green, orange, red, white, patterned, basket, food.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,388217.jpg,"Pumpkins, squash, statue, fence, sky, trees, grass, orange, brown, yellow, white, textured, smooth, patterned, organic, artificial, rural, outdoor, sunset.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,107167.jpg,"Blender, appliance, glass, plastic, metal, white, silver, beige, tiles, pattern, fruit, liquid, cord, countertop, wall, ceramic, floral, checkered.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,367630.jpg,"Bunkbeds, pillows, blankets, sheets, pajamas, shorts, shirt, book, oranges, camera, clothes, wood, fabric, stripes, shadows, light, white, gray, blue, red, brown, patterned, smooth, rough, soft, hard.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,546854.jpg,"Oranges, juice, pitcher, glass, bowl, thyme, citrus, fruit, liquid, table, blue, orange, yellow, transparent, smooth, textured, pattern, natural, food, drink, kitchenware, tableware.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,90724.jpg,"Shoppingcart, tomatoes, broccoli, bananas, oranges, lemons, parsley, onions, plastic, metal, grocery, aisle, shelves, blurred, horizontal, vertical, round, bumpy, smooth, green, yellow, orange, red, brown, white, patterned.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,71214.jpg,"Oranges, pumpkin, black, red, bumpy, smooth, plastic, stripes, pattern, shadows, highlights, round, oval.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,407566.jpg,"Kitchen,island,countertop,cabinets,sink,faucet,stove,oven,window,blinds,tile,wood,sofa,chairs,table,lamp,wall,ceiling,floor,clock,door,mirror,plants,pattern,texture,beige,black,gray,white,brown,silver,woodgrain,smooth,glossy,matte.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,107734.jpg,"Bananas, oranges, bowl, plastic, white, yellow, orange, brown, green, countertop, sink, faucet, bottle, lid, label, pattern, smooth, textured, curved, round, rectangular, glossy, matte.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,295049.jpg,"Envelopes, box, fruit, apple, cherry, grape, orange, strawberry, green, red, purple, yellow, brown, white, plastic, glossy, smooth, patterned, text, logo, barcode.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,210077.jpg,"Woman, refrigerator, kitchen, counter, cabinets, bottles, bags, microwave, stools, lights, wall, door, table, plastic, wood, metal, fabric, beige, white, brown, black, green, red, patterned, smooth, textured.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,39080.jpg,"Woman, table, chairs, tablecloth, plates, bowls, cups, glasses, juice, fruit, pitcher, napkins, mountains, trees, grass, dirt, fabric, wood, ceramic, glass, plastic, red, white, green, brown, orange, yellow, blue, patterned, striped, smooth, rough, natural, outdoor, daylight.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,202782.jpg,"Oranges, glasses, soda, juice, box, table, people, shirt, shorts, chair, bag, can, water, wood, glass, plastic, fabric, pattern, light, floor, wall, door, cabinet.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,548936.jpg,"Girl, phone, jeans, t-shirt, plastic, fruit, oranges, bananas, vegetables, basket, plastic bags, blue, white, gray, concrete, fabric, pattern, texture, light, shadow.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,449073.jpg,"Oranges, fruit, wooden, bumpy, orange, yellow, brown, pile, crate, shadows, highlights, round, citrus.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,orange,354333.jpg,"Orange, hand, flesh, pith, segments, skin, wood, grain, texture, brown, orange, white, smooth, rough, pattern, diagonal, vertical, light, shadow.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,382558.jpg,"Flamingo, water, bowl, feathers, pink, orange, brown, dirt, shadow, bird, ground, texture, pattern, smooth, rough.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,158254.jpg,"Birds,mud,grass,water,brown,green,texture,pattern,horizontal","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,532568.jpg,"Trafficlights, wires, pole, sign, car, sky, clouds, buildings, lights, road, asphalt, metal, plastic, glass, red, yellow, blue, gray, white, black, horizontal, vertical, diagonal, linear, organic, smooth, rough, illuminated, dusk.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,346678.jpg,"Bear, water, rocks, seagull, fur, brown, white, gray, ripples, waves, wet, rough, smooth, textured, organic, natural, sunlight.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,446033.jpg,"Eagle, clock, building, glass, metal, concrete, sky, brown, white, black, gray, texture, pattern, vertical, horizontal, angular, smooth, rough.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,300579.jpg,"Bird,window,frame,glass,metal,texture,pattern,black,white,monochrome,horizontal,vertical,light,shadow,reflection,dust,cracks.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,173071.jpg,"Coyote, feathers, fur, teeth, claws, brown, tan, white, feathers, soft, rough, animal, prey, dirt, sand, blurred.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,197191.jpg,"Pavingstones,birds,grass,stone,gray,brown,rough,pattern,rectangular,outdoor,ground","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,176195.jpg,"Cows, pigeons, buildings, people, pavement, water, red, brown, gray, white, brick, wood, stone, feathers, shadows, crowd, architecture, courtyard, sky.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,227878.jpg,"Hummingbird, ornament, glass, mosaic, wings, beak, perch, aquarium, fish, plants, gravel, wood, cat, chair, fabric, yellow, brown, black, white, stripes, pattern, texture, smooth, shiny, rough, glossy, matte.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,339535.jpg,"Crows, grass, dry, brown, black, feathers, texture, pattern, ground, vegetation, natural, outdoor.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,218196.jpg,"People, kites, pier, water, buildings, clock tower, sky, clouds, railing, concrete, metal, fabric, orange, red, gray, white, blue, textured, smooth, horizontal, vertical, diagonal.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,84495.jpg,"Elephants,grass,sky,clouds,trees,dirt,white,gray,brown,green,texture,pattern,horizon,open,wildlife,mammal,trunks,tusks,legs,body,mane,shadows,light,darkness,blue,white,gray,green,brown.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,213536.jpg,"Crows, rock, moss, gray, black, feathers, texture, pattern, white, sky, stone.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
/mnt/abka03/Projects/xl-vlms/data/train,bird,423975.jpg,"Rooster, hen, grass, stone, wood, red, brown, black, white, feathers, blur, outdoor, daylight, texture, pattern.","Identify all visible objects, items, textures, colors, materials, and notable visual patterns in the given image. Output only a single-word, comma-separated list. Do not include explanations, sentences, or any extra text—just the detected elements."
